#rtt sig_str x y
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 27.95 -19.25
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 28.36 15.52
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 -2.79 15.1
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 6.54 6.44
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 16.53 17.64
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 8.5 -6.72
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
0 0 13.32 -9.58
